Album,Song Name,Lyrics
Taylor Swift,  A Perfectly Good Heart,why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart  maybe i shouldve seen the signs shouldve read the writing on the wall and realized by the distance in your eyes that i would be the one to fall  no matter what you say i still cant believe that you would walk away it dont make sense to me but  why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart  its not unbroken anymore its not unbroken anymore how do i get it back the way it was before  why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break— why would you wanna break it  why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart  mmm hmm
Taylor Swift,  A Place In This World,i dont know what i want so dont ask me cause im still trying to figure it out dont know whats down this road im just walking trying to see through the rain coming down even though im not the only one who feels the way i do  im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im just a girl trying to find a place in this world  got the radio on my old blue jeans and im wearing my heart on my sleeve feeling lucky today got the sunshine could you tell me what more do i need and tomorrows just a mystery oh yeah but thats okay  im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im just a girl trying to find a place in this world  maybe im just a girl on a mission but im ready to fly  im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im alone on my own and thats all i know oh im just a girl trying to find a place in this world  oh im just a girl oh im just a girl oh oh oh im just a girl
Taylor Swift,  Cold as You,you have a way of coming easily to me and when you take you take the very best of me so i start a fight cause i need to feel something and you do what you want cause im not what you wanted  oh what a shame what a rainy ending given to a perfect day just walk away aint no use defending words that you will never say and now that im sitting here thinking it through ive never been anywhere cold as you  you put up walls and paint them all a shade of gray and i stood there loving you and wished them all away and you come away with a great little story of a mess of a dreamer with the nerve to adore you  oh what a shame what a rainy ending given to a perfect day so just walk away aint no use defending words that you will never say and now that im sitting here thinking it through ive never been anywhere cold as you  you never did give a damn thing honey but i cried cried for you and i know you wouldnt have told nobody if i died died for you died for you  oh what a shame what a rainy ending given to a perfect day oh every smile you fake is so condescending counting all the scars you made and now that im sitting here thinking it through ive never been anywhere cold as you ooh oh
Taylor Swift,  I'm Only Me When I'm With You,friday night beneath the stars in a field behind your yard you and i are painting pictures in the sky and sometimes we dont say a thing just listen to the crickets sing everything i need is right here by my side  and i know everything about you i dont wanna live without you  im only up when youre not down dont wanna fly if youre still on the ground its like no matter what i do well you drive me crazy half the time the other half im only tryin to let you know that what i feel is true and im only me when im with you  just a small town boy and girl livin in a crazy world tryna figure out what is and isnt true and i dont try to hide my tears my secrets or my deepest fears through it all nobody gets me like you do  and you know everything about me you say that you cant live without me  im only up when youre not down dont wanna fly if youre still on the ground its like no matter what i do well you drive me crazy half the time the other half im only tryin to let you know that what i feel is true and im only me when im with you  when im with anybody else its so hard to be myself and only you can tell  that im only up when youre not down dont wanna fly if youre still on the ground its like no matter what i do well you drive me crazy half the time the other half im only tryin to let you know that what i feel is true and im only me who i wanna be well im only me when im with you  with you uh huh huh yeah
Taylor Swift,  Invisible,she cant see the way your eyes light up when you smile shell never notice how you stop and stare whenever she walks by  and you cant see me wanting you the way you want her but you are everything to me  and i just wanna show you she dont even know you shes never gonna love you like i want to and you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible  oh yeah oh  theres a fire inside of you that cant help but shine through shes never gonna see the light no matter what you do  and all i think about is how to make you think of me and everything that we could be  and i just wanna show you she dont even know you shes never gonna love you like i want to and you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible  like shadows in a faded light oh were invisible i just wanna open your eyes and make you realize  i just wanna show you she dont even know you baby let me love you let me want you you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible  oh yeah  she cant see the way your eyes light up when you smile
Taylor Swift,  Mary's Song (Oh My My My),she said i was seven and you were nine i looked at you like the stars that shined in the sky the pretty lights and our daddies used to joke about the two of us growing up and falling in love and our mamas smiled and rolled their eyes and said oh my my my  take me back to the house in the backyard tree said youd beat me up you were bigger than me you never did you never did take me back when our world was one block wide i dared you to kiss me and ran when you tried just two kids you and i oh my my my my  well i was sixteen when suddenly i wasnt that little girl you used to see but your eyes still shined like pretty lights and our daddies used to joke about the two of us they never believed wed really fall in love and our mamas smiled and rolled their eyes and said oh my my my  take me back to the creek beds we turned up 2 am riding in your truck and all i need is you next to me take me back to the time we had our very first fight the slamming of doors stead of kissing goodnight you stayed outside til the morning light oh my my my my  a few years had gone and come around we were sitting at our favorite spot in town and you looked at me got down on one knee  take me back to the time when we walked down the aisle our whole town came and our mamas cried you said i do and i did too take me home where we met so many years before well rock our babies on that very front porch after all this time you and i  and ill be eighty seven youll be eighty nine ill still look at you like the stars that shine in the sky oh my my my
Taylor Swift,  Our Song,i was ridin shotgun with my hair undone in the front seat of his car hes got a one hand feel on the steering wheel the other on my heart i look around turn the radio down he says baby is something wrong i say nothin i was just thinkin how we dont have a song and he says  our song is a slamming screen door sneakin out late tapping on your window when were on the phone and you talk real slow cause its late and your mama dont know our song is the way you laugh the first date man i didnt kiss her and i should have and when i got home fore i said amen askin god if he could play it again  i was walking up the front porch steps after everything that day had gone all wrong and been trampled on and lost and thrown away got to the hallway well on my way to my lovin bed i almost didnt notice all the roses and the note that said  our song is a slamming screen door sneakin out late tapping on your window when were on the phone and you talk real slow cause its late and your mama dont know our song is the way you laugh the first date man i didnt kiss her and i should have and when i got home fore i said amen askin god if he could play it again  da da da da  ive heard every album listened to the radio waited for somethin to come along that was as good as our song  cause our song is a slamming screen door sneakin out late tapping on his window when were on the phone and he talks real slow cause its late and his mama dont know our song is the way he laughs the first date man i didnt kiss him and i should have and when i got home fore i said amen askin god if he could play it again  play it again oh yeah oh oh yeah  i was ridin shotgun with my hair undone in the front seat of his car i grabbed a pen and an old napkin and i wrote down our song
Taylor Swift,  Picture to Burn,state the obvious i didnt get my perfect fantasy i realize you love yourself more than you could ever love me so go and tell your friends that im obsessive and crazy thats fine you wont mind if i say by the way  i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lyin so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn  theres no time for tears im just sittin here planning my revenge theres nothing stoppin me from goin out with all of your best friends and if you come around sayin sorry to me my daddys gonna show ya how sorry youll be  cause i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lyin so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn  and if youre missing me youd better keep it to yourself cause coming back around here would be bad for your health  cause i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lyin so watch me strike a match on all my wasted time in case you havent heard i really really hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lyin so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn  burn burn burn baby burn youre just another picture to burn baby burn
Taylor Swift,  Should've Said No,its strange to think the songs we used to sing the smiles the flowers everything is gone yesterday i found out about you even now just lookin at you feels wrong  you say that youd take it all back given one chance it was a moment of weakness and you said yes  you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with herd get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me  you can see that ive been cryin and baby you know all the right things to say but do you honestly expect me to believe we could ever be the same  you say that the past is the past you need one chance it was a moment of weakness and you said yes  you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with her’d get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me oh oh  i cant resist before you go tell me this was it worth it was she worth this no no no no no no  you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with her’d get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me
Taylor Swift,  Stay Beautiful,corys eyes are like a jungle he smiles its like the radio he whispers songs into my window in words that nobody knows theres pretty girls on every corner they watch him as hes walking home saying does he know will you ever know  youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my door oh but if it dont stay beautiful  cory finds another way to be the highlight of my day im taking pictures in my mind so i can save em for a rainy day its hard to make a conversation when hes taking my breath away i should say hey by the way  youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my door oh but if it dont stay beautiful  if you and i are a story that never gets told if what you are is a daydream ill never get to hold at least youll know  youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my front door oh but if it dont will you stay beautiful beautiful beautiful beautiful beautiful beautiful  la la la oh oh oh oh oh oh oh oh but if it dont stay beautiful stay beautiful na na na na na
